elapsed_wall_seconds,x,y,z,roll,pitch,yaw,cmd_vel_publishers,joint_state_messages,rgb_messages
41.002546,3.1011037756864748,4.557671579825016,0.23901814960987683,0.0001503529199899551,-0.001015822037948678,1.5755502856224493,0,4641,320
42.002433,3.101104245589865,4.55768745285829,0.23902566969662226,0.00015250985802846322,-0.0009889391092719893,1.57555228348082,0,4890,330
43.001226,3.1011049921691325,4.557663548059244,0.23899523096724704,0.00015502071061394032,-0.001002561288329,1.5755542765580264,0,5139,340
44.001354,3.1011054938573364,4.557689569778999,0.23902624986642423,0.0001574692121342749,-0.000992848919845238,1.575556194751101,0,5389,349
45.000329,3.101105756942543,4.557692522823995,0.2390313236281285,0.00015849731231100202,-0.0009983419351096297,1.5755582083940294,0,5638,359
46.002526,3.1011058562660385,4.557685284034062,0.23903278023525892,0.00015861426131472914,-0.0010252830185765636,1.5755601693212975,0,5886,369
47.002474,3.101106449937946,4.557691408020676,0.2390293124337146,0.0001610605649430491,-0.0010026951356382576,1.5755621483981914,0,6136,379
48.000341,3.1011070079880407,4.557669450404772,0.23901048984579695,0.00016281747754350577,-0.00102940847235476,1.5755641056934302,0,6386,389
49.001876,3.1011071564273265,4.557701614027903,0.23906042502615274,0.00016386873932803587,-0.001034046305282666,1.5755660180517153,0,6636,399
50.002548,3.1011069608916246,4.557702935926347,0.23904844741801845,0.0001629867391943963,-0.0010102967596349146,1.5755680760267796,0,6885,409
51.000522,3.1011069313439577,4.5577148054833865,0.23906975441395195,0.000162959632494063,-0.001019346396061568,1.5755700496167044,0,7135,419
52.002009,3.1011073231646966,4.557683417982962,0.2390114290555731,0.0001638586478900477,-0.000996653400850553,1.575572103862374,0,7385,428
53.002409,3.101107676431511,4.557686866398426,0.2390429699514638,0.00016521223451344862,-0.0010451585391123776,1.5755739962200745,0,7634,436
54.003069,3.1011077486735235,4.557680722401707,0.23902506960510114,0.00016520624299307427,-0.001023797369638524,1.5755759628420818,0,7884,443
55.000626,3.1011077102370557,4.557680096350114,0.23902844945949447,0.00016483982845733866,-0.0010308764997267344,1.5755778724494773,0,8134,452
56.002569,3.1011076225513876,4.5576777941789475,0.23902300500628867,0.00016422769032929264,-0.0010264947207679692,1.5755798017633658,0,8384,462
57.001707,3.101107438651842,4.5576944106846495,0.23903560198068943,0.00016360700895883586,-0.001004434835463528,1.5755817143592288,0,8634,472
58.002762,3.1011076049254305,4.557689697059385,0.23902648650729924,0.0001640334484337266,-0.0010032608504333949,1.5755836751736132,0,8883,481
59.00244,3.1011076355113554,4.557683954493401,0.23902318183672053,0.00016386361609798303,-0.0010146501685889264,1.575585612711758,0,9133,491
60.002478,3.101107664013063,4.557698647498227,0.23903732912319717,0.0001640901959817054,-0.00100111948654916,1.5755875291933705,0,9383,501
61.001255,3.101107001960207,4.557705570018758,0.2390392138037014,0.000161374507166364,-0.000986404996218647,1.5755896049937266,0,9633,511
62.002604,3.1011065589288584,4.557698122846001,0.2390377800452367,0.00015924474904757796,-0.0010062969179196594,1.575591592575855,0,9883,521
63.002763,3.101106147565756,4.557708565463764,0.23904312299588112,0.00015756760463679726,-0.0009905446352860465,1.5755935615846506,0,10133,530
64.002421,3.1011060605815493,4.557688944139708,0.23902034077656278,0.0001566625272689212,-0.001003587527619166,1.5755955218458693,0,10382,540
65.001406,3.1011056882723516,4.557696294262706,0.23903667074326834,0.0001550626054700173,-0.001014503518810557,1.5755974080388058,0,10631,550
66.002707,3.1011053385417022,4.557710152527995,0.23904174205062842,0.00015368946026226505,-0.0009861109599478602,1.5755993536237598,0,10880,560
67.002375,3.1011051918519956,4.557711089095653,0.23904073927037173,0.0001529072316463133,-0.000981907121764895,1.5756012538123814,0,11130,570
68.002447,3.101105035280803,4.557713025025749,0.23904434397492214,0.0001520996880249934,-0.0009834999591283385,1.5756031867396734,0,11380,580
69.00071,3.101104810993298,4.557713092739697,0.23904505282281713,0.0001509866090814535,-0.0009837414640041806,1.575605100335726,0,11630,590
70.00168,3.1011046663190087,4.557711706047256,0.23905859036580165,0.00015012125992696428,-0.0010152629522372284,1.5756069733409521,0,11879,600
71.002657,3.1011049433946476,4.557686829206393,0.23901011575482695,0.00015059713515262345,-0.0009920592583357187,1.5756088511414736,0,12128,609
72.002398,3.1011053854101416,4.55770519363678,0.23905656548257295,0.0001524479620771473,-0.0010161773119851357,1.575610615660112,0,12378,618
73.002036,3.101104699343798,4.55771425864811,0.2390493628567681,0.00014960955920785375,-0.0009817236203897312,1.5756125481891896,0,12627,627
74.001929,3.101103887195328,4.557715007442803,0.2390485687324569,0.00014615684900652355,-0.0009780761030829268,1.575614639594932,0,12877,637
75.001251,3.1011043686486253,4.5577064412983965,0.23906299068210118,0.00014771407636620399,-0.001017296384381203,1.5756164598927507,0,13125,647
75.001344,3.1011043686486253,4.5577064412983965,0.23906299068210118,0.00014771407636620399,-0.001017296384381203,1.5756164598927507,0,13125,647
